받침;final consonant;la consonne finale
질문;question;une question
이분;this person;cette personne
어디;where?;où ?
취미;a hobby;un hobby
이름;name;le nom
운동;exercise (sport);du sport
누구;who?;qui ?
뭐;what?;quoi ?
여기;here;ici
반갑습니다;Nice to meet you.;Ravi de vous rencontrer.
실례합니다;Excuse me;Excusez-moi.
죄송합니다;Excuse me, I'm sorry;Désolé, Excusez-moi.
전화번호;phone number;un numéro de téléphone
어제;yesterday;hier
오늘;today;aujourd'hui
내일;tomorrow;demain
주말;week-end;le week-end
친구;friend;un ami
N층;-nth floor;-ième étage
얼마예요;How much does it cost?;Combien ça coûte ?
그리고;and then;puis, et ensuite
시간;time;le temps
언제;when?;quand ?
왜;why?;pourquoi ?
생일;birthday;l'anniversaire
오전;AM (time);AM (matin)
오후;PM (time);PM (après-midi)
아침;morning (~6AM-9AM);le matin (~6H-9H)
점심;lunchtime, afternoon;lunchtime, après-midi
저녁;evening;le soir
밤;night;la nuit
새벽;night/dawn (~12AM-6AM);le milieu de la nuit/l'aube (~minuit à 6h du matin)
몇 시예요?;What time is it?;Quelle heure est-il ?
지금;now;maintenant
반;half;et demi
약속;an appointment;un rendez-vous
혼자;alone;seul
요즘;these days;en ce moment, de nos jours
보통;usually;habituellement, en général
수업;class, lesson;les cours, la leçon
음악;music;de la musique
등산;hiking;randonnée
A부터 B까지;from A to B (time);de A à B (temps)
무슨 요일;what day of the week;quel jour de la semaine
시작;the beginning;le début
끝;the end;la fin
같이;together, with;ensemble, avec
아주;very, extremely;très, extrêmement
지난(주/달/년);last (week/month/year);(le/la semaine/mois/année) dernière
이번(주/달);this week / this month;cette semaine, ce mois-ci
다음(주/달/해);next (week/month/year);(le/la semaine/mois/année) prochaine
올해;this year;cette année
작년;last year;l'année dernière
내년;next year;l'année prochaine
새;new;nouveau 
그래서;so, therefore;alors, donc
그 다음에;next, after that;ensuite, et après
파티;a party;une fête
기분;mood, feelings;l'humeur
잘못;wrong, incorrectly, mistake;pas bien, mal, erreur
시험;test, exam;un test, un examen
늦게;late;en retard
왜냐하면;because;parce que
하지만;but/however;mais/cependant
격식체;Formal Polite Style;Formal Polite Style
위에;on, above;sur, dessus
아래에;under, below;dessous
앞에;in front of;devant
뒤에;behind;derrière
옆에;aside;à côté de
안에;inside;dedans, à l'intérieur
밖에;outside;dehors, à l'extérieur
A하고 B사이;between A and B;entre A et B
왼쪽;left side;à gauche
오른쪽;right side;à droite
혹시;"By any chance, (+ question)";"Par hasard, (+ question)"
동료;coworker;un collègue de travail
일찍;early;tôt
문화;culture;la culture
쪽;direction, way;une direction
-한테;to (someone);à (quelqu'un)
다시;again;encore
방학;vacation, holiday;des vacances
택시;taxi;un taxi
비행기;plane;un avion
기차;train;un train
배;boat;un bateau
트럭;truck;un camion
지하철;subway;le métro
버스 정류장;bus stop;un arrêt de bus
걸어서;by foot;à pied, en marchant
어떻게;how?;comment ?
A에서 B까지;from A to B (place);de A à B (lieu)
쯤;about, or so, -ish;environ
-지 마세요;Do not (+verb);Ne fait pas (+action)
큰 소리로;out loud;(voix/musique) fort(e)
알겠어요;All right, I understand;Ok, je comprends
첫날;the first day;le premier jour
학기;semester, term;le semestre
지금부터;from now on;à partir de maintenant
(N)호선;line (N);la ligne (N)
-한테서;from (someone);de (quelqu'un)
